species,,latitude,longitude
Southern Brown Tree Frog,,-37.684362,145.328969
Southern Brown Tree Frog,,-37.360555,144.536944
Southern Brown Tree Frog,,-37.389,144.2673
Common Beard-heath,,-38.15514,141.2903
Common Beard-heath,,-37.20388,142.34239
Common Beard-heath,,-37.77459,141.45338
Agile Antechinus,,-37.733023,145.483839
Brown Treecreeper,,-36.7933,143.41083
Brown Treecreeper,,-36.9489,143.33167
Brown Treecreeper,,-36.8514,143.26333
Agile Antechinus,,-37.959527,146.263918
Agile Antechinus,,-37.910824,146.23453
Agile Antechinus,,-38.560182,143.499705
Agile Antechinus,,-37.4728,144.2585
Agile Antechinus,,-37.885737,145.404707
Southern Brown Tree Frog,,-38.019865,145.621281
Agile Antechinus,,-37.2837,144.3166
Brown Treecreeper,,-36.835278,143.310833
Agile Antechinus,,-37.795982,146.040232
Agile Antechinus,,-37.779211,145.989735
Agile Antechinus,,-37.6539,145.3025
Agile Antechinus,,-37.843797,145.538563
Agile Antechinus,,-37.775248,145.997465
Agile Antechinus,,-37.38244,145.855981
Agile Antechinus,,-37.4669,144.2538
Small Triggerplant,,-37.59389,142.32222
Common Beard-heath,,-38.06222,147.55333
Common Beard-heath,,-38.18528,147.37222
Common Beard-heath,,-38.11806,147.4675
Common Beard-heath,,-38.05861,147.55583
Common Beard-heath,,-38.07583,147.53167
